1787773442 6.07 6.41 5.82 4/4241 27132 | === RUN 4 ===
1787773447 5.66 6.32 5.80 2/4227 27148 | === RUN 4 ===
1787773452 5.21 6.22 5.76 3/4256 27164 | === RUN 4 ===
1787773457 4.87 6.13 5.74 1/4243 27180 | === RUN 4 ===
1787773462 4.56 6.05 5.71 2/4234 27196 | === RUN 4 ===
1787773467 4.28 5.96 5.69 4/4272 27212 | === RUN 4 ===
1787773472 4.17 5.91 5.67 2/4242 27228 | === RUN 4 ===
1787773477 3.92 5.83 5.65 1/4275 27244 | === RUN 4 ===
1787773482 3.77 5.77 5.63 2/4274 27260 | === RUN 4 ===
1787773487 3.70 5.72 5.61 3/4274 27276 | === RUN 4 ===
1787773492 3.65 5.67 5.60 4/4322 27292 | === RUN 4 ===
1787773497 3.51 5.61 5.58 2/4304 27308 | === RUN 4 ===
1787773502 3.23 5.52 5.55 3/4321 27324 | === RUN 4 ===
1787773507 3.13 5.46 5.53 3/4348 27340 | === RUN 4 ===
1787773512 3.20 5.44 5.52 3/4325 27356 | === RUN 4 ===
1787773517 3.19 5.40 5.51 2/4324 27372 | === RUN 4 ===
1787773522 2.93 5.31 5.48 15/4333 27388 | === RUN 4 ===
1787773527 2.94 5.27 5.46 4/4336 27404 | === RUN 4 ===
1787773532 2.78 5.20 5.44 4/4319 27420 | === RUN 4 ===
1787773537 2.64 5.13 5.42 2/4350 27436 | === RUN 4 ===
1787773542 2.59 5.08 5.40 5/4358 27452 | === RUN 4 ===
1787773547 2.54 5.02 5.38 4/4340 27468 | === RUN 4 ===
1787773552 2.66 5.01 5.37 3/4337 27484 | === RUN 4 ===
1787773557 3.01 5.04 5.38 2/4362 27500 | === RUN 4 ===
1787773562 2.93 4.99 5.36 6/4405 27516 | === RUN 4 ===
1787773567 2.85 4.91 5.33 1/4364 27532 | === RUN 4 ===
1787773572 2.70 4.84 5.31 2/4373 27548 | === RUN 4 ===
1787773577 2.49 4.76 5.28 1/4362 27565 | === RUN 4 ===
1787773582 2.53 4.73 5.27 4/4364 27581 | === RUN 4 ===
1787773587 2.40 4.67 5.24 2/4426 27597 | === RUN 4 ===
1787773592 2.29 4.61 5.22 2/4392 27613 | === RUN 4 ===
1787773597 2.11 4.53 5.19 1/4391 27629 | === RUN 4 ===
1787773602 2.02 4.47 5.17 2/4412 27645 | === RUN 4 ===
1787773607 1.94 4.41 5.15 2/4405 27661 | === RUN 4 ===
1787773612 2.02 4.39 5.13 2/4407 27675 | === RUN 4 ===
1787773617 2.02 4.35 5.12 2/4432 27691 | === RUN 4 ===
1787773622 2.26 4.36 5.12 3/4465 27707 | === RUN 4 ===
1787773627 2.32 4.34 5.10 5/4467 27723 | === RUN 4 ===
1787773632 2.37 4.32 5.09 3/4451 27739 | === RUN 4 ===
1787773637 2.26 4.26 5.07 1/4450 27755 | === RUN 4 ===
1787773642 2.16 4.21 5.05 9/4469 27771 | === RUN 4 ===
1787773647 2.07 4.15 5.03 3/4492 27787 | === RUN 4 ===
1787773652 2.06 4.12 5.01 7/4488 27803 | === RUN 4 ===
1787773657 2.46 4.17 5.02 5/4513 27819 | === RUN 4 ===
1787773662 2.50 4.15 5.01 7/4509 27835 | === RUN 4 ===
1787773667 2.30 4.08 4.98 4/4499 27851 | === RUN 4 ===
1787773672 2.28 4.04 4.97 3/4501 27867 | === RUN 4 ===
