"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","630","TestCaptureSeedWithHistoryAtZeroIsExactlyCaptureSeed","","Fri Sep 25 23:31:58 BST 2026","passed","Fri Sep 25 23:31:58 BST 2026","","github.com/n-orlov/deck/internal/interactive","github.com/n-orlov/deck/internal/interactive",""
"","0","TestSortComparatorsBreakTiesByIDWhenNoPreviousFrame/activity","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","631","sidebar_width can be set and read back for a scenario","","","passed","","","Godog harness wiring","",""
"","0","TestSessionScopedKeysAreInertOnAHeader","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestGroupOrderDefaultFirstFlagFalseMatchesR129Baseline","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestCreateModalTabOnPathFieldWithNoMatchDoesNotMoveFocus","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","130","TestRestartKillsRelaunchesWithResumeArgvSameConversationIDAndClearsEnvDirty","","Fri Sep 25 23:32:15 BST 2026","passed","Fri Sep 25 23:32:15 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","10","TestDriftPreservingGlobalKeysLeaveTheDriftInPlace","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestSessionRowTokensClearContrastFloorOnSurface/empire","","Fri Sep 25 23:32:39 BST 2026","passed","Fri Sep 25 23:32:39 BST 2026","","github.com/n-orlov/deck/internal/theme","github.com/n-orlov/deck/internal/theme",""
"","940","TestFeatures/U_inside_the_filter's_results_returns_the_archived_row_to_the_default_list","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:19 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","10","TestSettingsScopeParityEnvOverrideExemption/ui.ascii","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","110","TestSessionContextEnvExportsNamedGroupThroughRealPaneLaunch/claude","","Fri Sep 25 23:32:15 BST 2026","passed","Fri Sep 25 23:32:15 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","110","TestCreateAgentLoginShellInvocationForm","","Fri Sep 25 23:32:15 BST 2026","passed","Fri Sep 25 23:32:15 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","30","TestSettingsSaveAppliesLiveScopeFieldsWithoutRestart","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","1090","TestFeatures/deleting_an_empty_group_in_settings_removes_it_with_no_confirm_prompt_(R131_part_2)","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:20 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","0","TestCodexIdentityMismatchCatchesSwappedStoredIDs","","Fri Sep 25 23:31:23 BST 2026","passed","Fri Sep 25 23:31:23 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","50","TestLastCreateAgentAccessorsDegradeToDocumentedDefaults","","Fri Sep 25 23:32:31 BST 2026","passed","Fri Sep 25 23:32:31 BST 2026","","github.com/n-orlov/deck/internal/store","github.com/n-orlov/deck/internal/store",""
"","10","TestSendNamedKeyDeliversAltModifiedNavigationKeysByTmuxsOwnTranslation/S-M-Home","","Fri Sep 25 23:32:40 BST 2026","passed","Fri Sep 25 23:32:40 BST 2026","","github.com/n-orlov/deck/internal/tmux","github.com/n-orlov/deck/internal/tmux",""
"","10","TestSidebarGutterCellsNeverFallBackToCanvasForeground","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","2710","TestFeatures/m_marks_a_batch_by_session_id,_x_kills_every_marked_non-stopped_session,_and_one_u_undoes_the_whole_batch","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:21 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","110","TestReceiveDoesNotReviveCleanStopOrProcessCrash","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
"","0","TestSessionRestartedNoopOutcomesLeaveTheLatchSetAndIssueNoFit","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","10","TestSettingsScopeParityMatchesSaveBehaviour/yolo_default","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestParsePaneSeedStateRejectsWrongFieldCount","","Fri Sep 25 23:32:40 BST 2026","passed","Fri Sep 25 23:32:40 BST 2026","","github.com/n-orlov/deck/internal/tmux","github.com/n-orlov/deck/internal/tmux",""
"","0","TestSettingsFooterCarriesDeckBackground/daylight/env-list","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","60","TestReceiveHookAppliesOverAnyStaleSourceExceptStopped/Stop/from_stopped/via_hook","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
"","540","TestFeatures/a_colour_assertion_fails_when_pointed_at_a_cell_of_a_different_colour","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:19 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","740","TestCoalescedTwoKeystrokesWithNoDelayStillDispatchBoth","","Fri Sep 25 23:31:23 BST 2026","passed","Fri Sep 25 23:31:23 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","600","TestFeatures/a_real_deck_client's_own_coloured_chrome_is_readable_per_cell,_by_name_and_by_matched_text","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:19 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","0","TestCodex_InstrumentEncodesInlineHooksNoIO","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/agent","github.com/n-orlov/deck/internal/agent",""
"","0","TestSessionIDCreatesSessionIfMissing","","Fri Sep 25 23:31:21 BST 2026","passed","Fri Sep 25 23:31:21 BST 2026","","github.com/n-orlov/deck/cmd/fake-pi","github.com/n-orlov/deck/cmd/fake-pi",""
"","884","the settings takeover's plain footer paints deck background across its whole row","","","passed","","","The settings takeover's own footer carries deck's background token in every mode (requirement 118, task cure-03-01)","",""
"","0","TestParseRejectsUnknownToken","","Fri Sep 25 23:32:39 BST 2026","passed","Fri Sep 25 23:32:39 BST 2026","","github.com/n-orlov/deck/internal/theme","github.com/n-orlov/deck/internal/theme",""
"","60","TestReceiveMappingTable/session_start_fresh","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
"","0","TestPendingSelectSessionIDSelectsNewRowNotIndexZero","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestConfigFileMissingDefaultsToNoYoloAndNoEnv","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","0","TestLessByActivityStableOrdersMostRecentFirst","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
