1787793938 3.17 3.83 3.51 3/4562 89107 | === RUN 2 ===
1787793943 3.32 3.85 3.52 3/4543 89117 | === RUN 2 ===
1787793948 3.21 3.82 3.51 3/4592 89127 | === RUN 2 ===
1787793953 3.11 3.79 3.50 3/4627 89137 | === RUN 2 ===
1787793958 3.18 3.79 3.51 2/4619 89147 | === RUN 2 ===
1787793963 3.01 3.74 3.49 4/4623 89158 | === RUN 2 ===
1787793968 2.93 3.72 3.49 3/4604 89168 | === RUN 2 ===
1787793973 2.85 3.69 3.48 3/4599 89178 | === RUN 2 ===
1787793978 3.03 3.71 3.49 5/4659 89188 | === RUN 2 ===
1787793983 2.94 3.68 3.48 31/4692 89204 | === RUN 2 ===
1787793988 3.43 3.77 3.51 22/4719 89214 | === RUN 2 ===
1787793993 3.39 3.75 3.50 5/4663 89224 | === RUN 2 ===
1787793998 3.52 3.78 3.51 3/4669 89234 | === RUN 2 ===
1787794003 3.48 3.76 3.51 4/4670 89244 | === RUN 2 ===
1787794008 4.08 3.88 3.55 5/4657 89254 | === RUN 2 ===
1787794013 4.24 3.92 3.56 2/4710 89264 | === RUN 2 ===
1787794018 3.98 3.87 3.55 3/4725 89274 | === RUN 2 ===
1787794023 3.82 3.84 3.54 4/4763 89284 | === RUN 2 ===
1787794028 3.67 3.81 3.53 2/4812 89294 | === RUN 2 ===
1787794033 3.54 3.78 3.52 3/4917 89304 | === RUN 2 ===
1787794038 3.50 3.76 3.52 1/4972 89314 | === RUN 2 ===
1787794043 3.30 3.72 3.51 2/5029 89324 | === RUN 2 ===
1787794048 3.19 3.69 3.50 11/4275 89387 | === RUN 3 ===
1787794053 3.26 3.69 3.50 4/4250 89397 | === RUN 3 ===
1787794058 3.48 3.73 3.52 2/4216 89407 | === RUN 3 ===
1787794063 3.52 3.74 3.52 3/4254 89417 | === RUN 3 ===
1787794068 3.64 3.76 3.53 2/4291 89427 | === RUN 3 ===
1787794073 5.59 4.16 3.66 3/4299 89437 | === RUN 3 ===
1787794078 5.70 4.21 3.68 5/4325 89447 | === RUN 3 ===
1787794083 5.64 4.22 3.68 12/4322 89457 | === RUN 3 ===
